"ID","NLuc","CLuc","CLuc_Sample","p_shapiro","p_levene","Letters","mean","sd"
57,"AtMLO6","AtEXO70H1","G",0.96536686148259,0.0921104660778084,"b",0.605882352941176,0.420669983828318
58,"AtMLO6","AtEXO70H2","H",0.576999506396467,0.0921104660778084,"ab",0.445238095238095,0.34683741216338
59,"AtMLO6","AtEXO70H4","I",0.329503126437831,0.0921104660778084,"ab",0.506818181818182,0.463561639848892
60,"AtMLO6","AtEXO70H7","J",0.237603064258741,0.0921104660778084,"b",0.684545454545455,0.412030133811632
61,"AtMLO7","AtEXO70A1","A",0.310786135065328,0.00129868880008803,"abc",0.143478260869565,0.34104929923096
62,"AtMLO7","AtEXO70B2","B",0.0188725291893393,0.00129868880008803,"abc",0.232608695652174,0.306701178100478
63,"AtMLO7","AtEXO70D2","C",0.846307667031048,0.00129868880008803,"abc",0.204782608695652,0.182205417672607
64,"AtMLO7","AtEXO70D3","D",0.355051668601245,0.00129868880008803,"abc",0.175217391304348,0.15180338854816
65,"AtMLO7","AtEXO70E2","E",0.00970341459934686,0.00129868880008803,"a",0.0334782608695652,0.049046239375083
66,"AtMLO7","AtEXO70G1","F",0.136247862815551,0.00129868880008803,"a",0.0418181818181818,0.0779887881829887
67,"AtMLO7","AtEXO70H1","G",0.162261290124488,0.00129868880008803,"b",0.392727272727273,0.407923683550896
68,"AtMLO7","AtEXO70H2","H",0.414750151190207,0.00129868880008803,"abc",0.153913043478261,0.15488233452982
69,"AtMLO7","AtEXO70H4","I",0.0357201977504466,0.00129868880008803,"ac",0.103913043478261,0.156633304551943
70,"AtMLO7","AtEXO70H7","J",0.355769172735614,0.00129868880008803,"bc",0.349565217391304,0.357013855866453
71,"AtMLO9","AtEXO70A1","A",0.423521619260906,0.149006244735678,"a",0.13304347826087,0.113154551694441
72,"AtMLO9","AtEXO70G1","B",0.734272553426237,0.149006244735678,"ab",0.191666666666667,0.236839088039091
73,"AtMLO9","AtEXO70B2","C",0.562652095486785,0.149006244735678,"a",0.128695652173913,0.0939199053268304
74,"AtMLO9","AtEXO70D2","D",0.924004803075952,0.149006244735678,"ab",0.199565217391304,0.195180062806107
75,"AtMLO9","AtEXO70D3","E",0.0540565070296435,0.149006244735678,"a",0.126521739130435,0.222518818318651
76,"AtMLO9","AtEXO70E2","F",0.549935833641792,0.149006244735678,"a",0.139583333333333,0.135597844239202
77,"AtMLO9","AtEXO70H1","G",0.923783952211892,0.149006244735678,"ab",0.28,0.267207784317748
78,"AtMLO9","AtEXO70H2","H",0.742708382732304,0.149006244735678,"ab",0.185833333333333,0.194867104473272
79,"AtMLO9","AtEXO70H4","I",0.112162037972311,0.149006244735678,"ab",0.17875,0.16003566178661
