"CLuc_Sample","A","B","C","D","E","F","G","H","I","J"
"A",1,0.187203066172282,0.847457349980908,0.385395724641519,0.643803945400667,0.562208801491724,0.00063900638805376,0.0915113577929332,0.0212241491323067,0.0158423710763039
"B",0.187203066172282,1,0.249923116464556,0.687368401555599,0.437288206789389,0.475303495106441,0.0212241491323067,0.720798205892845,0.360271984900695,0.252348510517003
"C",0.847457349980908,0.249923116464556,1,0.472084846707531,0.727929487034561,0.68674492897316,0.000668421399389195,0.128589236333016,0.0345032911655113,0.0212241491323067
"D",0.385395724641519,0.687368401555599,0.472084846707531,1,0.687368401555599,0.746288864522269,0.00614427572404278,0.451389402614635,0.172875993008743,0.119999970086248
"E",0.643803945400667,0.437288206789389,0.727929487034561,0.687368401555599,1,0.887864780600193,0.00189894626500098,0.245822760254915,0.0748287714810204,0.047404302457004
"F",0.562208801491724,0.475303495106441,0.68674492897316,0.746288864522269,0.887864780600193,1,0.00224903980821035,0.282151347371194,0.0915113577929332,0.0624612285778858
"G",0.00063900638805376,0.0212241491323067,0.000668421399389195,0.00614427572404278,0.00189894626500098,0.00224903980821035,1,0.047404302457004,0.172875993008743,0.245822760254915
"H",0.0915113577929332,0.720798205892845,0.128589236333016,0.451389402614635,0.245822760254915,0.282151347371194,0.047404302457004,1,0.562208801491724,0.451389402614635
"I",0.0212241491323067,0.360271984900695,0.0345032911655113,0.172875993008743,0.0748287714810204,0.0915113577929332,0.172875993008743,0.562208801491724,1,0.844021533033411
"J",0.0158423710763039,0.252348510517003,0.0212241491323067,0.119999970086248,0.047404302457004,0.0624612285778858,0.245822760254915,0.451389402614635,0.844021533033411,1
