"CLuc_Sample","A","B","C","D","E","F","G","H","I","J"
"A",1,0.0957252565794238,0.00941298279240373,0.0591554369928731,0.722551454534325,0.722551454534325,1.39512814875394e-11,0.0957252565794238,0.0748753875532905,0.00557521420006347
"B",0.0957252565794238,1,0.386767794329487,0.90660614568593,0.207415087354195,0.207415087354195,4.42741816912e-09,0.995905711725486,0.943945037244615,0.301783773945631
"C",0.00941298279240373,0.386767794329487,1,0.527546068746012,0.0305020168844668,0.0305020168844668,1.4651276090994e-07,0.386767794329487,0.456134168752395,0.937575301809115
"D",0.0591554369928731,0.90660614568593,0.527546068746012,1,0.153304642735039,0.153304642735039,8.42547382920993e-09,0.90660614568593,0.943945037244615,0.41255351328761
"E",0.722551454534325,0.207415087354195,0.0305020168844668,0.153304642735039,1,0.995905711725486,2.96032696882758e-11,0.207415087354195,0.180207729796732,0.0200617936147588
"F",0.722551454534325,0.207415087354195,0.0305020168844668,0.153304642735039,0.995905711725486,1,2.96032696882758e-11,0.207415087354195,0.180207729796732,0.0200617936147588
"G",1.39512814875394e-11,4.42741816912e-09,1.4651276090994e-07,8.42547382920993e-09,2.96032696882758e-11,2.96032696882758e-11,1,4.42741816912e-09,6.30439956829583e-09,2.78786258497909e-07
"H",0.0957252565794238,0.995905711725486,0.386767794329487,0.90660614568593,0.207415087354195,0.207415087354195,4.42741816912e-09,1,0.943945037244615,0.301783773945631
"I",0.0748753875532905,0.943945037244615,0.456134168752395,0.943945037244615,0.180207729796732,0.180207729796732,6.30439956829583e-09,0.943945037244615,1,0.374007404558851
"J",0.00557521420006347,0.301783773945631,0.937575301809115,0.41255351328761,0.0200617936147588,0.0200617936147588,2.78786258497909e-07,0.301783773945631,0.374007404558851,1
