"CLuc_Sample","A","B","C","D","E","F","G","H","I","J"
"A",1,0.937862487805944,0.452631411378755,0.031824046268201,0.937862487805944,0.904294316547107,0.526219165469345,0.942837964961387,0.0626126926970208,0.803073556288799
"B",0.937862487805944,1,0.428844585311501,0.031824046268201,0.904294316547107,0.895504788664079,0.452631411378755,0.953082099057547,0.0613916761405325,0.751097945140908
"C",0.452631411378755,0.428844585311501,1,0.184233521070005,0.526219165469345,0.586782496468254,0.937862487805944,0.444294130786252,0.452631411378755,0.757561874527751
"D",0.031824046268201,0.031824046268201,0.184233521070005,1,0.0395753769282585,0.0416506284519049,0.151801438397731,0.031824046268201,0.777559490620516,0.0613916761405325
"E",0.937862487805944,0.904294316547107,0.526219165469345,0.0395753769282585,1,0.942837964961387,0.614832549268768,0.904294316547107,0.0878443993896028,0.895504788664079
"F",0.904294316547107,0.895504788664079,0.586782496468254,0.0416506284519049,0.942837964961387,1,0.680183056478768,0.904294316547107,0.101370264312192,0.904294316547107
"G",0.526219165469345,0.452631411378755,0.937862487805944,0.151801438397731,0.614832549268768,0.680183056478768,1,0.471661405133859,0.428844585311501,0.831311339490705
"H",0.942837964961387,0.953082099057547,0.444294130786252,0.031824046268201,0.904294316547107,0.904294316547107,0.471661405133859,1,0.0613916761405325,0.757561874527751
"I",0.0626126926970208,0.0613916761405325,0.452631411378755,0.777559490620516,0.0878443993896028,0.101370264312192,0.428844585311501,0.0613916761405325,1,0.178834500241421
"J",0.803073556288799,0.751097945140908,0.757561874527751,0.0613916761405325,0.895504788664079,0.904294316547107,0.831311339490705,0.757561874527751,0.178834500241421,1
