"CLuc_Sample","A","B","C","D","E","F","G","H","I","J"
"A",1,0.453216837799238,0.621457850965905,0.779722829033258,0.388787971653114,0.441799325516672,0.0244907008117147,0.900583258137363,0.778370044439922,0.0816886655669086
"B",0.453216837799238,1,0.809482989829621,0.641092879639054,0.0900254392667146,0.112122223042763,0.135545701077875,0.535663518185565,0.298322610760406,0.334514497228359
"C",0.621457850965905,0.809482989829621,1,0.779722829033258,0.140495687580182,0.173492613351444,0.0900254392667146,0.657285259774277,0.409879464327401,0.229887619276368
"D",0.779722829033258,0.641092879639054,0.779722829033258,1,0.259308199637543,0.298322610760406,0.0451668061967873,0.850599586695138,0.604593215285069,0.13111634761515
"E",0.388787971653114,0.0900254392667146,0.140495687580182,0.259308199637543,1,0.900583258137363,0.00251613124222781,0.334514497228359,0.604593215285069,0.00856607568209262
"F",0.441799325516672,0.112122223042763,0.173492613351444,0.298322610760406,0.900583258137363,1,0.00251613124222781,0.388787971653114,0.641092879639054,0.00856607568209262
"G",0.0244907008117147,0.135545701077875,0.0900254392667146,0.0451668061967873,0.00251613124222781,0.00251613124222781,1,0.0306095995618692,0.00856607568209262,0.650441593059346
"H",0.900583258137363,0.535663518185565,0.657285259774277,0.850599586695138,0.334514497228359,0.388787971653114,0.0306095995618692,1,0.686306966234162,0.0900254392667146
"I",0.778370044439922,0.298322610760406,0.409879464327401,0.604593215285069,0.604593215285069,0.641092879639054,0.00856607568209262,0.686306966234162,1,0.0342113048081872
"J",0.0816886655669086,0.334514497228359,0.229887619276368,0.13111634761515,0.00856607568209262,0.00856607568209262,0.650441593059346,0.0900254392667146,0.0342113048081872,1
