"CLuc_Sample","A","B","C","D","E","F","G","H","I","J"
"A",1,0.866249800691889,0.547469806150635,0.733747580553447,0.705397441544769,0.972627871105114,0.00613407231675248,0.733747580553447,0.689026766082157,0.617770250345663
"B",0.866249800691889,1,0.733747580553447,0.893439591481101,0.502989969872287,0.885144423615103,0.0169918089995813,0.888597515437945,0.866249800691889,0.761892428301776
"C",0.547469806150635,0.733747580553447,1,0.866249800691889,0.13387118429882,0.55797586292787,0.0748459929278203,0.866249800691889,0.893439591481101,0.927738920195216
"D",0.733747580553447,0.893439591481101,0.866249800691889,1,0.298510273295744,0.740351709692354,0.0306636191548418,0.972627871105114,0.916303992160877,0.888597515437945
"E",0.705397441544769,0.502989969872287,0.13387118429882,0.298510273295744,1,0.689026766082157,0.000768367663486726,0.298510273295744,0.213401417071211,0.169192812318848
"F",0.972627871105114,0.885144423615103,0.55797586292787,0.740351709692354,0.689026766082157,1,0.00613407231675248,0.733747580553447,0.689026766082157,0.630698063073672
"G",0.00613407231675248,0.0169918089995813,0.0748459929278203,0.0306636191548418,0.000768367663486726,0.00613407231675248,1,0.0306636191548418,0.0455331962620674,0.0583635429063387
"H",0.733747580553447,0.888597515437945,0.866249800691889,0.972627871105114,0.298510273295744,0.733747580553447,0.0306636191548418,1,0.923279025085007,0.888597515437945
"I",0.689026766082157,0.866249800691889,0.893439591481101,0.916303992160877,0.213401417071211,0.689026766082157,0.0455331962620674,0.923279025085007,1,0.927738920195216
"J",0.617770250345663,0.761892428301776,0.927738920195216,0.888597515437945,0.169192812318848,0.630698063073672,0.0583635429063387,0.888597515437945,0.927738920195216,1
