ID,NLuc,CLuc,value,Experiment,Replicate,Volume,Area,VpA,VpA_base,VpA_norm,Ref_sample,NLuc_Sample,CLuc_Sample,ypos
1678,AtMLO1,AtEXO70B2,0.14,4,2,53677.25,32.67,1643.16,1636.46,0.14,AtMLO1-AtCAM2,B,C,1.05
1679,AtMLO1,AtEXO70B2,0.07,4,3,81659.79,48.8,1673.39,2059.78,0.07,AtMLO1-AtCAM2,B,C,1.05
1680,AtMLO1,AtEXO70B2,0.07,4,4,327739.89,82.68,3964.14,4286.83,0.07,AtMLO1-AtCAM2,B,C,1.05
1681,AtMLO1,AtEXO70B2,0.25,5,1,387732.21,63.45,6110.88,6060.43,0.25,AtMLO1-AtCAM2,B,C,1.05
1682,AtMLO1,AtEXO70B2,0.49,5,2,183113.21,63.45,2885.97,3002.03,0.49,AtMLO1-AtCAM2,B,C,1.05
1683,AtMLO1,AtEXO70B2,0.4,5,3,39781.19,86.52,459.78,758.59,0.4,AtMLO1-AtCAM2,B,C,1.05
1684,AtMLO1,AtEXO70B2,0.04,5,4,25959.44,107.5,241.49,655.43,0.04,AtMLO1-AtCAM2,B,C,1.05
1685,AtMLO1,AtEXO70B2,0.35,6,1,61558,42.47,1449.29,1742.08,0.35,AtMLO1-AtCAM2,B,C,1.05
1686,AtMLO1,AtEXO70B2,0.25,6,2,52398.29,63.45,825.83,1053.52,0.25,AtMLO1-AtCAM2,B,C,1.05
1687,AtMLO1,AtEXO70B2,0.11,6,3,36566,63.45,576.3,1089.19,0.11,AtMLO1-AtCAM2,B,C,1.05
1688,AtMLO1,AtEXO70B2,0.72,6,4,198811.5,63.45,3133.38,3373.26,0.72,AtMLO1-AtCAM2,B,C,1.05
1689,AtMLO1,AtEXO70D2,0.42,1,1,108202.31,104.54,1035.03,1386.71,0.42,AtMLO1-AtCAM2,B,D,0.84
1690,AtMLO1,AtEXO70D2,0.36,1,2,230853.72,129.88,1777.39,1826.16,0.36,AtMLO1-AtCAM2,B,D,0.84
