ID,NLuc,CLuc,value,Experiment,Replicate,Volume,Area,VpA,VpA_base,VpA_norm,Ref_sample,NLuc_Sample,CLuc_Sample,ypos
1792,AtMLO1,AtEXO70H2,0.18,6,1,106130.94,64.16,1654.24,2118.9,0.18,AtMLO1-AtCAM2,B,H,1.52
1793,AtMLO1,AtEXO70H2,0.03,6,2,29887.67,79.71,374.95,562.95,0.03,AtMLO1-AtCAM2,B,H,1.52
1794,AtMLO1,AtEXO70H2,0.37,6,3,98075,31.5,3113.96,3465.58,0.37,AtMLO1-AtCAM2,B,H,1.52
1795,AtMLO1,AtEXO70H2,0.04,6,4,68227.93,47.05,1450.16,1391.27,0.04,AtMLO1-AtCAM2,B,H,1.52
1796,AtMLO1,AtEXO70H4,0.49,1,1,166095.67,129.88,1278.8,1630.49,0.49,AtMLO1-AtCAM2,B,I,1.91
1797,AtMLO1,AtEXO70H4,0.08,1,2,38213.13,104.54,365.53,414.31,0.08,AtMLO1-AtCAM2,B,I,1.91
1798,AtMLO1,AtEXO70H4,1.91,1,3,144248,51.32,2810.76,3003.46,1.91,AtMLO1-AtCAM2,B,I,1.91
1799,AtMLO1,AtEXO70H4,0.04,2,1,9117.5,73.38,124.25,120.49,0.04,AtMLO1-AtCAM2,B,I,1.91
1800,AtMLO1,AtEXO70H4,0.1,2,2,13594.75,49.12,276.76,558.56,0.1,AtMLO1-AtCAM2,B,I,1.91
1801,AtMLO1,AtEXO70H4,0.05,2,3,6266.75,49.12,127.58,151.71,0.05,AtMLO1-AtCAM2,B,I,1.91
1802,AtMLO1,AtEXO70H4,0.12,3,1,50822,38.85,1308.25,1344.7,0.12,AtMLO1-AtCAM2,B,I,1.91
1803,AtMLO1,AtEXO70H4,0.16,3,2,96759.75,38.85,2490.78,2571.13,0.16,AtMLO1-AtCAM2,B,I,1.91
1804,AtMLO1,AtEXO70H4,0.26,3,3,196818.29,58.03,3391.61,3513.28,0.26,AtMLO1-AtCAM2,B,I,1.91
1805,AtMLO1,AtEXO70H4,0,3,4,-45449.38,79.13,-574.34,-31.43,0,AtMLO1-AtCAM2,B,I,1.91
1806,AtMLO1,AtEXO70H4,0.06,4,1,143988.64,52.4,2748.09,2460.36,0.06,AtMLO1-AtCAM2,B,I,1.91
1807,AtMLO1,AtEXO70H4,0.25,4,2,60632.44,71.45,848.61,875.88,0.25,AtMLO1-AtCAM2,B,I,1.91
1808,AtMLO1,AtEXO70H4,0.05,4,3,65943.86,52.4,1258.57,1562.09,0.05,AtMLO1-AtCAM2,B,I,1.91
1809,AtMLO1,AtEXO70H4,0.08,4,4,22237,35.07,633.98,775.58,0.08,AtMLO1-AtCAM2,B,I,1.91
1810,AtMLO1,AtEXO70H4,0.02,5,1,10246.5,24.68,415.13,489.29,0.02,AtMLO1-AtCAM2,B,I,1.91
1811,AtMLO1,AtEXO70H4,0.09,5,2,75899.14,52.4,1448.57,1394.76,0.09,AtMLO1-AtCAM2,B,I,1.91
1812,AtMLO1,AtEXO70H4,0.09,5,3,19527.5,24.68,791.15,953.06,0.09,AtMLO1-AtCAM2,B,I,1.91
1813,AtMLO1,AtEXO70H4,0.24,5,4,17088.5,35.07,487.2,804.59,0.24,AtMLO1-AtCAM2,B,I,1.91
1814,AtMLO1,AtEXO70H4,0.09,6,1,13786,22.16,622.02,1086.68,0.09,AtMLO1-AtCAM2,B,I,1.91
1815,AtMLO1,AtEXO70H4,0.04,6,2,34483.13,64.16,537.48,725.47,0.04,AtMLO1-AtCAM2,B,I,1.91
1816,AtMLO1,AtEXO70H4,0,6,3,-8634.5,22.16,-389.59,-37.97,0,AtMLO1-AtCAM2,B,I,1.91
1817,AtMLO1,AtEXO70H4,0.26,6,4,267562.5,31.5,8495.33,8436.44,0.26,AtMLO1-AtCAM2,B,I,1.91
1818,AtMLO1,AtEXO70H7,-0.01,1,1,-29169.29,76.66,-380.49,-28.8,-0.01,AtMLO1-AtCAM2,B,J,1.38
1819,AtMLO1,AtEXO70H7,0.22,1,2,141028,129.88,1085.8,1134.58,0.22,AtMLO1-AtCAM2,B,J,1.38
1820,AtMLO1,AtEXO70H7,1.38,1,3,71274.8,36.11,1973.6,2166.31,1.38,AtMLO1-AtCAM2,B,J,1.38
1821,AtMLO1,AtEXO70H7,0.23,2,1,35487.5,49.12,722.46,718.69,0.23,AtMLO1-AtCAM2,B,J,1.38
1822,AtMLO1,AtEXO70H7,0.19,2,2,98232.11,124.32,790.17,1071.96,0.19,AtMLO1-AtCAM2,B,J,1.38
1823,AtMLO1,AtEXO70H7,0.06,2,3,9067,49.12,184.59,208.72,0.06,AtMLO1-AtCAM2,B,J,1.38
1824,AtMLO1,AtEXO70H7,0.08,3,1,31367.75,38.85,807.47,843.91,0.08,AtMLO1-AtCAM2,B,J,1.38
1825,AtMLO1,AtEXO70H7,0.63,3,2,381600.5,38.85,9823.12,9903.47,0.63,AtMLO1-AtCAM2,B,J,1.38
1826,AtMLO1,AtEXO70H7,0.18,3,3,129495.86,58.03,2231.5,2353.16,0.18,AtMLO1-AtCAM2,B,J,1.38
1827,AtMLO1,AtEXO70H7,0.07,3,4,36988.38,79.13,467.42,1010.33,0.07,AtMLO1-AtCAM2,B,J,1.38
1828,AtMLO1,AtEXO70H7,0.05,4,1,130645.29,52.4,2493.42,2205.69,0.05,AtMLO1-AtCAM2,B,J,1.38
1829,AtMLO1,AtEXO70H7,0.45,4,2,112060.5,71.45,1568.4,1595.67,0.45,AtMLO1-AtCAM2,B,J,1.38
1830,AtMLO1,AtEXO70H7,0,4,3,-8163,52.4,-155.79,147.73,0,AtMLO1-AtCAM2,B,J,1.38
1831,AtMLO1,AtEXO70H7,0.15,4,4,46599,35.07,1328.55,1470.15,0.15,AtMLO1-AtCAM2,B,J,1.38
1832,AtMLO1,AtEXO70H7,0.17,5,1,535900.55,116.48,4600.65,4674.81,0.17,AtMLO1-AtCAM2,B,J,1.38
1833,AtMLO1,AtEXO70H7,0.26,5,2,137472.5,35.07,3919.39,3865.58,0.26,AtMLO1-AtCAM2,B,J,1.38
1834,AtMLO1,AtEXO70H7,0.13,5,3,45873.75,35.07,1307.88,1469.79,0.13,AtMLO1-AtCAM2,B,J,1.38
1835,AtMLO1,AtEXO70H7,-0.01,5,4,-12100,35.07,-344.98,-27.59,-0.01,AtMLO1-AtCAM2,B,J,1.38
1836,AtMLO1,AtEXO70H7,0.34,6,1,233060.19,64.16,3632.66,4097.32,0.34,AtMLO1-AtCAM2,B,J,1.38
1837,AtMLO1,AtEXO70H7,0.2,6,2,275221.11,79.71,3452.77,3640.77,0.2,AtMLO1-AtCAM2,B,J,1.38
1838,AtMLO1,AtEXO70H7,0.16,6,3,52953.5,47.05,1125.51,1477.13,0.16,AtMLO1-AtCAM2,B,J,1.38
1839,AtMLO1,AtEXO70H7,0.1,6,4,155715.21,47.05,3309.68,3250.78,0.1,AtMLO1-AtCAM2,B,J,1.38
1840,AtMLO7,AtEXO70A1,0.07,1,1,21609.5,41.14,525.31,563.68,0.07,AtMLO7-AtCAM2,C,A,1.32
1841,AtMLO7,AtEXO70A1,1.32,1,2,598071.5,41.14,14538.65,14803.98,1.32,AtMLO7-AtCAM2,C,A,1.32
1842,AtMLO7,AtEXO70A1,0,1,3,-2446.5,28.95,-84.51,69.23,0,AtMLO7-AtCAM2,C,A,1.32
1843,AtMLO7,AtEXO70A1,0.01,1,4,5472,41.14,133.02,170.45,0.01,AtMLO7-AtCAM2,C,A,1.32
1844,AtMLO7,AtEXO70A1,0,2,1,1634,61.45,26.59,-9.7,0,AtMLO7-AtCAM2,C,A,1.32
1845,AtMLO7,AtEXO70A1,-0.01,2,2,-14697.44,83.8,-175.39,-33.62,-0.01,AtMLO7-AtCAM2,C,A,1.32
1846,AtMLO7,AtEXO70A1,0.07,2,3,19701.71,61.45,320.61,489.8,0.07,AtMLO7-AtCAM2,C,A,1.32
1847,AtMLO7,AtEXO70A1,0.15,2,4,-5814.75,83.8,-69.39,187.17,0.15,AtMLO7-AtCAM2,C,A,1.32
1848,AtMLO7,AtEXO70A1,0.74,3,1,296168.75,38.21,7752.07,7610.76,0.74,AtMLO7-AtCAM2,C,A,1.32
1849,AtMLO7,AtEXO70A1,0.06,3,2,6328.07,57.07,110.88,181.42,0.06,AtMLO7-AtCAM2,C,A,1.32
1850,AtMLO7,AtEXO70A1,0,3,3,-7153.93,57.07,-125.35,21.52,0,AtMLO7-AtCAM2,C,A,1.32
1851,AtMLO7,AtEXO70A1,0.01,3,4,29893.81,77.83,384.11,229.47,0.01,AtMLO7-AtCAM2,C,A,1.32
1852,AtMLO7,AtEXO70A1,0.01,4,1,-7031.14,54.24,-129.62,224.25,0.01,AtMLO7-AtCAM2,C,A,1.32
1853,AtMLO7,AtEXO70A1,0,4,2,-5844.3,25.55,-228.72,-24.22,0,AtMLO7-AtCAM2,C,A,1.32
1854,AtMLO7,AtEXO70A1,0.84,4,3,214817,36.31,5916.04,5901.19,0.84,AtMLO7-AtCAM2,C,A,1.32
1855,AtMLO7,AtEXO70A1,0,4,4,8552.25,36.31,235.53,-5.91,0,AtMLO7-AtCAM2,C,A,1.32
1856,AtMLO7,AtEXO70A1,0,5,1,-13331.71,59,-225.97,-0.14,0,AtMLO7-AtCAM2,C,A,1.32
1857,AtMLO7,AtEXO70A1,0,5,2,-6030.57,59,-102.22,-13.96,0,AtMLO7-AtCAM2,C,A,1.32
1858,AtMLO7,AtEXO70A1,0.02,5,3,10984.9,27.79,395.25,243.71,0.02,AtMLO7-AtCAM2,C,A,1.32
1859,AtMLO7,AtEXO70A1,0,6,1,-5682.79,74.47,-76.31,-4.42,0,AtMLO7-AtCAM2,C,A,1.32
1860,AtMLO7,AtEXO70A1,0,6,2,-30754,74.47,-413,-21.18,0,AtMLO7-AtCAM2,C,A,1.32
1861,AtMLO7,AtEXO70A1,0,6,3,7536,74.47,101.2,-3.02,0,AtMLO7-AtCAM2,C,A,1.32
1862,AtMLO7,AtEXO70A1,0.01,6,4,15853.21,74.47,212.89,99.8,0.01,AtMLO7-AtCAM2,C,A,1.32
1863,AtMLO7,AtEXO70G1,0.06,1,1,17505.75,41.14,425.55,463.92,0.06,AtMLO7-AtCAM2,C,B,1.34
1864,AtMLO7,AtEXO70G1,0.14,1,2,82830.57,61.45,1347.91,1613.24,0.14,AtMLO7-AtCAM2,C,B,1.34
1865,AtMLO7,AtEXO70G1,0.11,1,3,85498.5,41.14,2078.4,2232.14,0.11,AtMLO7-AtCAM2,C,B,1.34
1866,AtMLO7,AtEXO70G1,0.92,1,4,1627337.43,61.45,26481.84,26519.27,0.92,AtMLO7-AtCAM2,C,B,1.34
1867,AtMLO7,AtEXO70G1,0.28,2,1,100775.81,83.8,1202.62,1166.32,0.28,AtMLO7-AtCAM2,C,B,1.34
1868,AtMLO7,AtEXO70G1,0.26,2,2,179822.05,136.61,1316.27,1458.05,0.26,AtMLO7-AtCAM2,C,B,1.34
1869,AtMLO7,AtEXO70G1,0.01,2,3,-5992.64,61.45,-97.52,71.67,0.01,AtMLO7-AtCAM2,C,B,1.34
1870,AtMLO7,AtEXO70G1,1.34,2,4,58451.25,41.14,1420.9,1677.47,1.34,AtMLO7-AtCAM2,C,B,1.34
1871,AtMLO7,AtEXO70G1,0.17,3,1,241194.25,126.88,1900.98,1759.68,0.17,AtMLO7-AtCAM2,C,B,1.34
1872,AtMLO7,AtEXO70G1,0.05,3,2,3642.5,38.21,95.34,165.88,0.05,AtMLO7-AtCAM2,C,B,1.34
1873,AtMLO7,AtEXO70G1,0.33,3,3,112106.57,57.07,1964.3,2111.17,0.33,AtMLO7-AtCAM2,C,B,1.34
1874,AtMLO7,AtEXO70G1,0.05,3,4,110056.44,96.69,1138.22,983.57,0.05,AtMLO7-AtCAM2,C,B,1.34
1875,AtMLO7,AtEXO70G1,0.24,4,1,517886.36,143.9,3598.96,3952.84,0.24,AtMLO7-AtCAM2,C,B,1.34
1876,AtMLO7,AtEXO70G1,0.06,4,2,91641.81,73.97,1238.96,1443.46,0.06,AtMLO7-AtCAM2,C,B,1.34
1877,AtMLO7,AtEXO70G1,0.06,4,3,42984.94,91.9,467.75,452.89,0.06,AtMLO7-AtCAM2,C,B,1.34
1878,AtMLO7,AtEXO70G1,0.26,4,4,806260.22,91.9,8773.42,8531.98,0.26,AtMLO7-AtCAM2,C,B,1.34
1879,AtMLO7,AtEXO70G1,0.08,5,1,152119.1,131.16,1159.78,1385.61,0.08,AtMLO7-AtCAM2,C,B,1.34
1880,AtMLO7,AtEXO70G1,0.03,5,2,162426.75,131.16,1238.37,1326.63,0.03,AtMLO7-AtCAM2,C,B,1.34
1881,AtMLO7,AtEXO70G1,0.29,5,3,198980.64,59,3372.65,3221.11,0.29,AtMLO7-AtCAM2,C,B,1.34
1882,AtMLO7,AtEXO70G1,0.22,6,1,496665.6,165.55,3000.16,3072.05,0.22,AtMLO7-AtCAM2,C,B,1.34
1883,AtMLO7,AtEXO70G1,0.15,6,2,44227.06,101.54,435.55,827.36,0.15,AtMLO7-AtCAM2,C,B,1.34
1884,AtMLO7,AtEXO70G1,0.01,6,3,15628.14,74.47,209.87,105.65,0.01,AtMLO7-AtCAM2,C,B,1.34
1885,AtMLO7,AtEXO70G1,0.23,6,4,259244.11,126.16,2054.88,1941.79,0.23,AtMLO7-AtCAM2,C,B,1.34
1886,AtMLO7,AtEXO70B2,0.09,1,1,44959.57,61.45,731.63,770,0.09,AtMLO7-AtCAM2,C,C,0.74
1887,AtMLO7,AtEXO70B2,0.16,1,2,95132.14,61.45,1548.1,1813.43,0.16,AtMLO7-AtCAM2,C,C,0.74
1888,AtMLO7,AtEXO70B2,0.05,1,3,34394.5,41.14,836.1,989.84,0.05,AtMLO7-AtCAM2,C,C,0.74
1889,AtMLO7,AtEXO70B2,0.02,1,4,25230.25,41.14,613.33,650.76,0.02,AtMLO7-AtCAM2,C,C,0.74
1890,AtMLO7,AtEXO70B2,0.29,2,1,133640.78,104.11,1283.63,1247.34,0.29,AtMLO7-AtCAM2,C,C,0.74
1891,AtMLO7,AtEXO70B2,0.36,2,2,199034.39,104.11,1911.75,2053.52,0.36,AtMLO7-AtCAM2,C,C,0.74
1892,AtMLO7,AtEXO70B2,0.45,2,3,186630.5,61.45,3037.06,3206.25,0.45,AtMLO7-AtCAM2,C,C,0.74
1893,AtMLO7,AtEXO70B2,-0.01,2,4,-11223.75,41.14,-272.84,-16.28,-0.01,AtMLO7-AtCAM2,C,C,0.74
1894,AtMLO7,AtEXO70B2,0.35,3,1,361336.94,96.69,3736.99,3595.69,0.35,AtMLO7-AtCAM2,C,C,0.74
1895,AtMLO7,AtEXO70B2,0,3,2,-2158.75,38.21,-56.5,14.03,0,AtMLO7-AtCAM2,C,C,0.74
1896,AtMLO7,AtEXO70B2,0.32,3,3,181800,96.69,1880.2,2027.06,0.32,AtMLO7-AtCAM2,C,C,0.74
1897,AtMLO7,AtEXO70B2,0.06,3,4,67978.79,57.07,1191.11,1036.46,0.06,AtMLO7-AtCAM2,C,C,0.74
1898,AtMLO7,AtEXO70B2,0,4,1,-9540.6,25.55,-373.38,-19.5,0,AtMLO7-AtCAM2,C,C,0.74
1899,AtMLO7,AtEXO70B2,0.31,4,2,1625399.58,212.04,7665.61,7870.11,0.31,AtMLO7-AtCAM2,C,C,0.74
1900,AtMLO7,AtEXO70B2,0.17,4,3,89414.44,73.97,1208.85,1193.99,0.17,AtMLO7-AtCAM2,C,C,0.74
1901,AtMLO7,AtEXO70B2,0.27,4,4,490144.93,54.24,9036.22,8794.78,0.27,AtMLO7-AtCAM2,C,C,0.74
1902,AtMLO7,AtEXO70B2,0.2,5,1,312961.44,99.96,3130.99,3356.82,0.2,AtMLO7-AtCAM2,C,C,0.74
1903,AtMLO7,AtEXO70B2,0.05,5,2,50219.2,27.79,1806.93,1895.18,0.05,AtMLO7-AtCAM2,C,C,0.74
1904,AtMLO7,AtEXO70B2,0.15,5,3,69420,39.49,1757.7,1606.17,0.15,AtMLO7-AtCAM2,C,C,0.74
1905,AtMLO7,AtEXO70B2,0.25,6,1,809389,241.86,3346.55,3418.44,0.25,AtMLO7-AtCAM2,C,C,0.74
1906,AtMLO7,AtEXO70B2,0.74,6,2,465310.56,126.16,3688.26,4080.07,0.74,AtMLO7-AtCAM2,C,C,0.74
1907,AtMLO7,AtEXO70B2,0.06,6,3,77912.94,126.16,617.57,513.36,0.06,AtMLO7-AtCAM2,C,C,0.74
1908,AtMLO7,AtEXO70B2,0.37,6,4,534934.25,165.55,3231.32,3118.22,0.37,AtMLO7-AtCAM2,C,C,0.74
1909,AtMLO7,AtEXO70D2,0.33,1,1,174954.95,176.44,991.61,988.09,0.33,AtMLO7-AtCAM2,C,D,0.57
1910,AtMLO7,AtEXO70D2,0.2,1,2,66592.5,44.52,1495.75,1539.11,0.2,AtMLO7-AtCAM2,C,D,0.57
1911,AtMLO7,AtEXO70D2,0.03,1,3,41981.88,90.69,462.91,349.38,0.03,AtMLO7-AtCAM2,C,D,0.57
1912,AtMLO7,AtEXO70D2,0.02,1,4,-5532.75,44.52,-124.27,76.77,0.02,AtMLO7-AtCAM2,C,D,0.57
1913,AtMLO7,AtEXO70D2,0.57,2,1,275103.63,56.7,4851.88,4983.07,0.57,AtMLO7-AtCAM2,C,D,0.57
1914,AtMLO7,AtEXO70D2,0.06,2,2,-5252,41.58,-126.31,115.97,0.06,AtMLO7-AtCAM2,C,D,0.57
1915,AtMLO7,AtEXO70D2,0.32,2,3,95383.44,56.7,1682.23,2089.56,0.32,AtMLO7-AtCAM2,C,D,0.57
1916,AtMLO7,AtEXO70D2,0.18,2,4,156777.57,41.58,3770.48,3764.98,0.18,AtMLO7-AtCAM2,C,D,0.57
1917,AtMLO7,AtEXO70D2,0.17,3,1,259523.5,47.92,5415.78,5338.45,0.17,AtMLO7-AtCAM2,C,D,0.57
1918,AtMLO7,AtEXO70D2,0.09,3,2,72907.5,47.92,1521.45,2098.3,0.09,AtMLO7-AtCAM2,C,D,0.57
1919,AtMLO7,AtEXO70D2,0.04,3,3,13722.6,22.57,607.9,1009.15,0.04,AtMLO7-AtCAM2,C,D,0.57
1920,AtMLO7,AtEXO70D2,0.17,3,4,85548.64,47.92,1785.24,2265.02,0.17,AtMLO7-AtCAM2,C,D,0.57
1921,AtMLO7,AtEXO70D2,0.27,4,1,297689.81,84.47,3524.04,3646.51,0.27,AtMLO7-AtCAM2,C,D,0.57
1922,AtMLO7,AtEXO70D2,0.2,4,2,178150.22,104.95,1697.44,2012.32,0.2,AtMLO7-AtCAM2,C,D,0.57
1923,AtMLO7,AtEXO70D2,0.06,4,3,19329.8,29.18,662.39,488.54,0.06,AtMLO7-AtCAM2,C,D,0.57
1924,AtMLO7,AtEXO70D2,0.02,4,4,-4577.75,41.47,-110.39,160.83,0.02,AtMLO7-AtCAM2,C,D,0.57
1925,AtMLO7,AtEXO70D2,0.28,5,1,180625.38,94.96,1902.16,2099.79,0.28,AtMLO7-AtCAM2,C,D,0.57
1926,AtMLO7,AtEXO70D2,0.12,5,2,149614.38,94.96,1575.58,1496.62,0.12,AtMLO7-AtCAM2,C,D,0.57
1927,AtMLO7,AtEXO70D2,0.31,5,3,228205.5,69.64,3277.12,3427.6,0.31,AtMLO7-AtCAM2,C,D,0.57
1928,AtMLO7,AtEXO70D2,0.47,5,4,83929.64,69.64,1205.26,1246.34,0.47,AtMLO7-AtCAM2,C,D,0.57
1929,AtMLO7,AtEXO70D2,0.03,6,1,43522.5,48.77,892.44,842.99,0.03,AtMLO7-AtCAM2,C,D,0.57
1930,AtMLO7,AtEXO70D2,0.03,6,2,56901.75,99.34,572.79,434.18,0.03,AtMLO7-AtCAM2,C,D,0.57
1931,AtMLO7,AtEXO70D2,0.06,6,3,44474.25,48.77,911.96,1015.44,0.06,AtMLO7-AtCAM2,C,D,0.57
1932,AtMLO7,AtEXO70D3,0.07,1,1,18091.25,90.69,199.48,195.96,0.07,AtMLO7-AtCAM2,C,E,0.21
1933,AtMLO7,AtEXO70D3,0.01,1,2,1452.8,31.33,46.37,89.74,0.01,AtMLO7-AtCAM2,C,E,0.21
1934,AtMLO7,AtEXO70D3,0,1,3,12409.31,90.69,136.83,23.3,0,AtMLO7-AtCAM2,C,E,0.21
1935,AtMLO7,AtEXO70D3,0.12,1,4,10067.7,31.33,321.35,522.38,0.12,AtMLO7-AtCAM2,C,E,0.21
1936,AtMLO7,AtEXO70D3,0.01,2,1,-810.5,41.58,-19.49,111.69,0.01,AtMLO7-AtCAM2,C,E,0.21
1937,AtMLO7,AtEXO70D3,0.07,2,2,-8744.22,70.45,-124.13,118.15,0.07,AtMLO7-AtCAM2,C,E,0.21
1938,AtMLO7,AtEXO70D3,0,2,3,-11923,27.83,-428.35,-21.03,0,AtMLO7-AtCAM2,C,E,0.21
1939,AtMLO7,AtEXO70D3,0.02,2,4,7254.2,19.59,370.35,364.85,0.02,AtMLO7-AtCAM2,C,E,0.21
1940,AtMLO7,AtEXO70D3,0.01,3,1,15256.25,32.08,475.59,398.27,0.01,AtMLO7-AtCAM2,C,E,0.21
1941,AtMLO7,AtEXO70D3,0.02,3,2,-4441.5,32.08,-138.46,438.4,0.02,AtMLO7-AtCAM2,C,E,0.21
1942,AtMLO7,AtEXO70D3,0,3,3,-26711.38,65.35,-408.77,-7.52,0,AtMLO7-AtCAM2,C,E,0.21
1943,AtMLO7,AtEXO70D3,0.06,3,4,7612.8,22.57,337.24,817.02,0.06,AtMLO7-AtCAM2,C,E,0.21
1944,AtMLO7,AtEXO70D3,0,4,1,-13230.94,104.95,-126.07,-3.6,0,AtMLO7-AtCAM2,C,E,0.21
1945,AtMLO7,AtEXO70D3,0.01,4,2,-8430.25,41.47,-203.29,111.6,0.01,AtMLO7-AtCAM2,C,E,0.21
1946,AtMLO7,AtEXO70D3,0,4,3,2357.88,12.8,184.22,10.37,0,AtMLO7-AtCAM2,C,E,0.21
1947,AtMLO7,AtEXO70D3,0.21,4,4,53682.25,41.47,1294.51,1565.73,0.21,AtMLO7-AtCAM2,C,E,0.21
1948,AtMLO7,AtEXO70D3,0.03,5,1,3891.36,69.64,55.88,253.51,0.03,AtMLO7-AtCAM2,C,E,0.21
1949,AtMLO7,AtEXO70D3,0.02,5,2,34505.81,94.96,363.38,284.42,0.02,AtMLO7-AtCAM2,C,E,0.21
1950,AtMLO7,AtEXO70D3,0,5,3,-5503,46.62,-118.05,32.44,0,AtMLO7-AtCAM2,C,E,0.21
1951,AtMLO7,AtEXO70D3,0.04,5,4,2051.1,32.8,62.53,103.6,0.04,AtMLO7-AtCAM2,C,E,0.21
1952,AtMLO7,AtEXO70D3,0.01,6,1,13547.4,34.32,394.76,345.31,0.01,AtMLO7-AtCAM2,C,E,0.21
1953,AtMLO7,AtEXO70D3,0.01,6,2,15369.75,48.77,315.16,176.56,0.01,AtMLO7-AtCAM2,C,E,0.21
1954,AtMLO7,AtEXO70D3,0.05,6,3,25190.5,34.32,734.03,837.51,0.05,AtMLO7-AtCAM2,C,E,0.21
1955,AtMLO7,AtEXO70E2,0,1,1,26.72,112.68,0.24,-3.28,0,AtMLO7-AtCAM2,C,F,0.27
1956,AtMLO7,AtEXO70E2,0,1,2,-1592.5,31.33,-50.83,-7.46,0,AtMLO7-AtCAM2,C,F,0.27
1957,AtMLO7,AtEXO70E2,0,1,3,12564.33,112.68,111.51,-2.03,0,AtMLO7-AtCAM2,C,F,0.27
1958,AtMLO7,AtEXO70E2,0.04,1,4,-414.2,31.33,-13.22,187.82,0.04,AtMLO7-AtCAM2,C,F,0.27
1959,AtMLO7,AtEXO70E2,0.14,2,1,74094.39,70.45,1051.79,1182.98,0.14,AtMLO7-AtCAM2,C,F,0.27
1960,AtMLO7,AtEXO70E2,-0.01,2,2,-10493.43,41.58,-252.37,-10.08,-0.01,AtMLO7-AtCAM2,C,F,0.27
1961,AtMLO7,AtEXO70E2,0.07,2,3,2352.06,56.7,41.48,448.81,0.07,AtMLO7-AtCAM2,C,F,0.27
1962,AtMLO7,AtEXO70E2,0,2,4,-1090.64,41.58,-26.23,-31.73,0,AtMLO7-AtCAM2,C,F,0.27
1963,AtMLO7,AtEXO70E2,0,3,1,4145.19,65.35,63.44,-13.89,0,AtMLO7-AtCAM2,C,F,0.27
1964,AtMLO7,AtEXO70E2,0,3,2,-28796.57,47.92,-600.93,-24.07,0,AtMLO7-AtCAM2,C,F,0.27
1965,AtMLO7,AtEXO70E2,0.01,3,3,-8369.43,47.92,-174.65,226.6,0.01,AtMLO7-AtCAM2,C,F,0.27
1966,AtMLO7,AtEXO70E2,0.02,3,4,-4309.9,22.57,-190.92,288.86,0.02,AtMLO7-AtCAM2,C,F,0.27
1967,AtMLO7,AtEXO70E2,0,4,1,-8514.22,104.95,-81.12,41.35,0,AtMLO7-AtCAM2,C,F,0.27
1968,AtMLO7,AtEXO70E2,0.27,4,2,71497,29.18,2450.04,2764.93,0.27,AtMLO7-AtCAM2,C,F,0.27
1969,AtMLO7,AtEXO70E2,0.09,4,3,25510.1,29.18,874.17,700.32,0.09,AtMLO7-AtCAM2,C,F,0.27
1970,AtMLO7,AtEXO70E2,0.02,5,1,-1793.79,69.64,-25.76,171.87,0.02,AtMLO7-AtCAM2,C,F,0.27
1971,AtMLO7,AtEXO70E2,0,5,2,12214.69,94.96,128.63,49.67,0,AtMLO7-AtCAM2,C,F,0.27
1972,AtMLO7,AtEXO70E2,0,5,3,-7146.5,46.62,-153.31,-2.82,0,AtMLO7-AtCAM2,C,F,0.27
1973,AtMLO7,AtEXO70E2,0.24,5,4,28067.75,46.62,602.11,643.18,0.24,AtMLO7-AtCAM2,C,F,0.27
1974,AtMLO7,AtEXO70E2,0,6,1,666.4,34.32,19.42,-30.03,0,AtMLO7-AtCAM2,C,F,0.27
1975,AtMLO7,AtEXO70E2,0.01,6,2,25818.64,72.85,354.4,215.8,0.01,AtMLO7-AtCAM2,C,F,0.27
1976,AtMLO7,AtEXO70E2,0.02,6,3,23038.57,72.85,316.24,419.72,0.02,AtMLO7-AtCAM2,C,F,0.27
1977,AtMLO7,AtEXO70H1,0.98,1,1,194270.79,66.51,2921.06,2917.54,0.98,AtMLO7-AtCAM2,C,G,1.51
1978,AtMLO7,AtEXO70H1,1.11,1,2,949702.56,112.68,8428.53,8471.9,1.11,AtMLO7-AtCAM2,C,G,1.51
1979,AtMLO7,AtEXO70H1,0.01,1,3,19614.25,90.69,216.27,102.74,0.01,AtMLO7-AtCAM2,C,G,1.51
1980,AtMLO7,AtEXO70H1,0.63,1,4,230008.38,90.69,2536.17,2737.21,0.63,AtMLO7-AtCAM2,C,G,1.51
1981,AtMLO7,AtEXO70H1,1.51,2,2,140128.75,56.7,2471.39,2713.67,1.51,AtMLO7-AtCAM2,C,G,1.51
1982,AtMLO7,AtEXO70H1,0.7,2,3,175092.79,41.58,4210.95,4618.28,0.7,AtMLO7-AtCAM2,C,G,1.51
1983,AtMLO7,AtEXO70H1,0.37,2,4,531934.83,70.45,7550.96,7545.46,0.37,AtMLO7-AtCAM2,C,G,1.51
1984,AtMLO7,AtEXO70H1,0.04,3,1,34140.8,22.57,1512.41,1435.08,0.04,AtMLO7-AtCAM2,C,G,1.51
1985,AtMLO7,AtEXO70H1,0.27,3,2,352352,65.35,5392.15,5969.01,0.27,AtMLO7-AtCAM2,C,G,1.51
1986,AtMLO7,AtEXO70H1,0.08,3,3,125937.81,65.35,1927.27,2328.52,0.08,AtMLO7-AtCAM2,C,G,1.51
1987,AtMLO7,AtEXO70H1,0.12,3,4,88853.39,81.19,1094.43,1574.22,0.12,AtMLO7-AtCAM2,C,G,1.51
1988,AtMLO7,AtEXO70H1,0.23,4,1,182411.79,61.95,2944.61,3067.09,0.23,AtMLO7-AtCAM2,C,G,1.51
