ID,NLuc,CLuc_Sample,Experiment,mean,sd
226,AtMLO3,H,4,0.22,0.1937352144896052
227,AtMLO3,H,5,0.175,0.13820274961085252
228,AtMLO3,H,6,0.225,0.1484362938547488
229,AtMLO3,I,1,0.2625,0.10996211468804457
230,AtMLO3,I,2,0.16999999999999998,0.12529964086141668
231,AtMLO3,I,3,0.3075,0.2441823089414956
232,AtMLO3,I,4,0.135,0.09814954576223639
233,AtMLO3,I,5,0.6475,0.6132087735836792
234,AtMLO3,I,6,0.1175,0.1228481447424692
235,AtMLO3,J,1,0.4,0.46021733996015407
236,AtMLO3,J,2,0.225,0.3711693234450642
237,AtMLO3,J,3,0.41500000000000004,0.33191364338735263
238,AtMLO3,J,4,0.5025000000000001,0.31255666152982037
239,AtMLO3,J,5,0.625,0.2572288216096063
240,AtMLO3,J,6,0.3175,0.1682012683265696
241,AtMLO4,A,1,0.0925,0.14127396551853894
242,AtMLO4,A,2,0.043333333333333335,0.055075705472861024
243,AtMLO4,A,3,0.11,0.0804155872120988
244,AtMLO4,A,4,0.045000000000000005,0.06350852961085884
245,AtMLO4,A,5,0.049999999999999996,0.08717797887081347
246,AtMLO4,A,6,0.0275,0.04856267428111156
247,AtMLO4,B,1,0.0625,0.026299556396765837
248,AtMLO4,B,2,0.1025,0.08616843969807042
249,AtMLO4,B,3,0.0225,0.029860788111948193
250,AtMLO4,B,4,0.034999999999999996,0.05802298395176403
251,AtMLO4,B,5,0.0675,0.038622100754188225
252,AtMLO4,B,6,0.030000000000000002,0.040824829046386304
253,AtMLO4,C,1,0.235,0.24637369989509836
254,AtMLO4,C,2,0.11666666666666667,0.04509249752822894
255,AtMLO4,C,3,0.08,0.08906926143924924
256,AtMLO4,C,4,0.015,0.017320508075688773
257,AtMLO4,C,5,0.245,0.23501772982763092
258,AtMLO4,C,6,0.06,0.05773502691896258
259,AtMLO4,D,1,0.315,0.3081666215972565
260,AtMLO4,D,2,0.44,0.3641428291206625
261,AtMLO4,D,3,0.1,0.0725718035235908
262,AtMLO4,D,4,0.017499999999999998,0.015
263,AtMLO4,D,5,0.28500000000000003,0.1312757911167681
264,AtMLO4,D,6,0.17,0.18956089610817242
265,AtMLO4,E,1,0.1425,0.14660036380127664
266,AtMLO4,E,2,0.06333333333333334,0.055075705472861024
267,AtMLO4,E,3,0.0975,0.06652067347825034
268,AtMLO4,E,4,0.0125,0.015
269,AtMLO4,E,5,0.0625,0.062383224240709675
270,AtMLO4,E,6,0.0425,0.04031128874149275
271,AtMLO4,F,1,0.0325,0.03304037933599835
