ID,NLuc,CLuc_Sample,Experiment,mean,sd
511,HvMlo,F,1,0.0025,0.012583057392117916
512,HvMlo,F,2,0.015,0.019148542155126763
513,HvMlo,F,3,0.0525,0.029860788111948193
514,HvMlo,F,4,0,0
515,HvMlo,F,5,0.0175,0.023629078131263043
516,HvMlo,F,6,0.01,0.01414213562373095
517,HvMlo,G,1,0.8725,0.6216309194369276
518,HvMlo,G,2,1.2650000000000001,0.8273149339882606
520,HvMlo,G,4,0.7525,0.5840876075841135
521,HvMlo,G,5,0.4925,0.28476598579652496
522,HvMlo,G,6,0.46249999999999997,0.3474070619124871
523,HvMlo,H,1,0.4075,0.31689903754981646
524,HvMlo,H,2,0.1125,0.058523499553598125
525,HvMlo,H,3,0.4175,0.230416289933387
526,HvMlo,H,4,0.10250000000000001,0.1129527924990495
527,HvMlo,H,5,0.115,0.0971253485622231
528,HvMlo,H,6,0.2375,0.1666083231214255
529,HvMlo,I,1,1.0675000000000001,0.693607718142371
530,HvMlo,I,2,0.4375,0.29307280096704075
531,HvMlo,I,3,0.535,0.36409705665751635
532,HvMlo,I,4,0.40499999999999997,0.3064310689208912
533,HvMlo,I,5,0.4175,0.31191612120354834
534,HvMlo,I,6,0.45,0.40472212689696124
535,HvMlo,J,1,0.57,0.6364484791926732
536,HvMlo,J,2,0.54,0.6285963198534759
537,HvMlo,J,3,0.2325,0.18136059844041832
538,HvMlo,J,4,0.1375,0.03593976442141304
539,HvMlo,J,5,0.1925,0.15370426148939398
540,HvMlo,J,6,0.3725,0.2417126393054364
