"CLuc_Sample","A","B","C","D","E","F","G","H","I","J"
"A",1,0.773335769472103,0.894955479029452,0.755189497320654,0.850352849856679,0.963971367660257,2.01994403983052e-09,0.118928896398702,0.0122302392905038,4.02482144323807e-05
"B",0.773335769472103,1,0.891810487395563,0.963971367660257,0.933714594440992,0.755189497320654,5.64613308413892e-09,0.305498708496184,0.0438147444275049,0.000199517672280314
"C",0.894955479029452,0.891810487395563,1,0.87994004739947,0.933714594440992,0.87994004739947,3.40198261796598e-09,0.193574376517336,0.0232818533140502,8.91198060429984e-05
"D",0.755189497320654,0.963971367660257,0.87994004739947,1,0.933714594440992,0.738867980171043,5.64613308413892e-09,0.318751614985992,0.0466901988273749,0.000215303699904816
"E",0.850352849856679,0.933714594440992,0.933714594440992,0.933714594440992,1,0.811021153403552,4.42103287781147e-09,0.248834423409712,0.0328218734162017,0.000137259247679472
"F",0.963971367660257,0.755189497320654,0.87994004739947,0.738867980171043,0.811021153403552,1,2.01994403983052e-09,0.106916906517014,0.0106979099755318,3.5236854377798e-05
"G",2.01994403983052e-09,5.64613308413892e-09,3.40198261796598e-09,5.64613308413892e-09,4.42103287781147e-09,2.01994403983052e-09,1,4.89517759259547e-07,1.88994953091164e-05,0.006625106587096
"H",0.118928896398702,0.305498708496184,0.193574376517336,0.318751614985992,0.248834423409712,0.106916906517014,4.89517759259547e-07,1,0.437415338791032,0.00979300158927353
"I",0.0122302392905038,0.0438147444275049,0.0232818533140502,0.0466901988273749,0.0328218734162017,0.0106979099755318,1.88994953091164e-05,0.437415338791032,1,0.0993664817694042
"J",4.02482144323807e-05,0.000199517672280314,8.91198060429984e-05,0.000215303699904816,0.000137259247679472,3.5236854377798e-05,0.006625106587096,0.00979300158927353,0.0993664817694042,1
