ID,NLuc,CLuc,mean,sd
1,AtMLO1,AtEXO70A1,0.11869565217391304,0.16968699387203504
2,AtMLO1,AtEXO70B2,0.24173913043478262,0.25741109981564586
3,AtMLO1,AtEXO70D2,0.19136363636363637,0.21911717792619012
4,AtMLO1,AtEXO70D3,0.026818181818181817,0.03550806261713684
5,AtMLO1,AtEXO70E2,0.12523809523809523,0.2220049334501161
6,AtMLO1,AtEXO70G1,0.1673913043478261,0.1851097313709394
7,AtMLO1,AtEXO70H1,0.5,0.4795173011532151
8,AtMLO1,AtEXO70H2,0.18772727272727274,0.3250484479373706
9,AtMLO1,AtEXO70H4,0.20363636363636364,0.39824071991155174
10,AtMLO1,AtEXO70H7,0.22863636363636364,0.29826954020603347
11,AtMLO12,AtEXO70A1,0.09272727272727273,0.1275102915802268
12,AtMLO12,AtEXO70B2,0.11863636363636364,0.14961205243484307
13,AtMLO12,AtEXO70D2,0.2090909090909091,0.22183024592840808
14,AtMLO12,AtEXO70D3,0.15181818181818182,0.13549332661958507
15,AtMLO12,AtEXO70E2,0.16608695652173913,0.24544466383271113
16,AtMLO12,AtEXO70G1,0.25521739130434784,0.3350694577277617
17,AtMLO12,AtEXO70H1,0.5455,0.3776168344820058
18,AtMLO12,AtEXO70H2,0.2947826086956522,0.3530628268223582
19,AtMLO12,AtEXO70H4,0.36217391304347823,0.41121722330549704
20,AtMLO12,AtEXO70H7,0.3890909090909091,0.34551423498907624
21,AtMLO2,AtEXO70A1,0.052083333333333336,0.06331283039600759
22,AtMLO2,AtEXO70B2,0.31166666666666665,0.25050673282050884
23,AtMLO2,AtEXO70D2,0.24458333333333335,0.17614172077364706
24,AtMLO2,AtEXO70D3,0.09583333333333334,0.09202630373817121
25,AtMLO2,AtEXO70E2,0.09541666666666666,0.17643767631429633
26,AtMLO2,AtEXO70G1,0.22208333333333333,0.22135902701398855
27,AtMLO2,AtEXO70H1,0.8460869565217392,0.5459332221105
28,AtMLO2,AtEXO70H2,0.2225,0.18342751204198635
29,AtMLO2,AtEXO70H4,0.23458333333333334,0.2655589538520863
30,AtMLO2,AtEXO70H7,0.32875,0.3407576277496444
31,AtMLO3,AtEXO70A1,0.06695652173913043,0.08652034876829925
32,AtMLO3,AtEXO70B2,0.08,0.1298950625417582
33,AtMLO3,AtEXO70D2,0.11043478260869566,0.13742694789561885
34,AtMLO3,AtEXO70D3,0.09347826086956522,0.10923738519440435
35,AtMLO3,AtEXO70E2,0.06125,0.08131059613284274
36,AtMLO3,AtEXO70G1,0.10043478260869565,0.1184167625138805
37,AtMLO3,AtEXO70H1,0.6431818181818182,0.3757581081549084
38,AtMLO3,AtEXO70H2,0.20347826086956522,0.16047114426678863
39,AtMLO3,AtEXO70H4,0.2778260869565217,0.3176040491174668
40,AtMLO3,AtEXO70H7,0.4141666666666667,0.3193732539871159
41,AtMLO4,AtEXO70A1,0.06217391304347826,0.08196210442189013
42,AtMLO4,AtEXO70B2,0.12565217391304348,0.1604206427137594
43,AtMLO4,AtEXO70D2,0.22125,0.24109014190078185
44,AtMLO4,AtEXO70D3,0.07043478260869565,0.08025404327789717
45,AtMLO4,AtEXO70E2,0.075,0.10479794223004656
46,AtMLO4,AtEXO70G1,0.05333333333333333,0.05305179312354285
47,AtMLO4,AtEXO70H1,0.11750000000000001,0.19746766383605588
48,AtMLO4,AtEXO70H2,0.05625,0.06254129070844526
49,AtMLO4,AtEXO70H4,0.18916666666666668,0.2509792415920985
50,AtMLO4,AtEXO70H7,0.09217391304347826,0.09219330096640972
51,AtMLO6,AtEXO70A1,0.15956521739130436,0.2194306322543448
52,AtMLO6,AtEXO70B2,0.1473913043478261,0.14340715689330621
53,AtMLO6,AtEXO70D2,0.3617391304347826,0.46860190677756863
54,AtMLO6,AtEXO70D3,0.21739130434782608,0.24584210363757591
55,AtMLO6,AtEXO70E2,0.09541666666666666,0.1299491260544635
56,AtMLO6,AtEXO70G1,0.3165217391304348,0.3677772138827845
57,AtMLO6,AtEXO70H1,0.6058823529411764,0.4206699838283184
58,AtMLO6,AtEXO70H2,0.44523809523809527,0.3468374121633802
59,AtMLO6,AtEXO70H4,0.5068181818181818,0.4635616398488921
60,AtMLO6,AtEXO70H7,0.6845454545454546,0.4120301338116317
61,AtMLO7,AtEXO70A1,0.14347826086956522,0.34104929923095995
62,AtMLO7,AtEXO70B2,0.20478260869565218,0.18220541767260656
63,AtMLO7,AtEXO70D2,0.17521739130434782,0.15180338854815972
64,AtMLO7,AtEXO70D3,0.033478260869565214,0.049046239375083026
65,AtMLO7,AtEXO70E2,0.04181818181818182,0.07798878818298874
66,AtMLO7,AtEXO70G1,0.23260869565217393,0.30670117810047837
67,AtMLO7,AtEXO70H1,0.39272727272727276,0.4079236835508961
68,AtMLO7,AtEXO70H2,0.15391304347826087,0.15488233452982014
69,AtMLO7,AtEXO70H4,0.10391304347826087,0.1566333045519428
70,AtMLO7,AtEXO70H7,0.34956521739130436,0.3570138558664529
71,AtMLO9,AtEXO70A1,0.13304347826086957,0.11315455169444118
72,AtMLO9,AtEXO70B2,0.12869565217391304,0.09391990532683042
73,AtMLO9,AtEXO70D2,0.19956521739130434,0.19518006280610745
74,AtMLO9,AtEXO70D3,0.1265217391304348,0.2225188183186511
75,AtMLO9,AtEXO70E2,0.13958333333333334,0.13559784423920182
76,AtMLO9,AtEXO70G1,0.19166666666666668,0.23683908803909123
77,AtMLO9,AtEXO70H1,0.28,0.2672077843177478
78,AtMLO9,AtEXO70H2,0.18583333333333332,0.194867104473272
79,AtMLO9,AtEXO70H4,0.17875,0.1600356617866101
80,AtMLO9,AtEXO70H7,0.3441666666666667,0.4162870734676155
81,HvMlo,AtEXO70A1,0.06166666666666667,0.13450930682740286
82,HvMlo,AtEXO70B2,0.33166666666666667,0.3831864873112973
83,HvMlo,AtEXO70D2,0.5369565217391304,0.4504587034104912
84,HvMlo,AtEXO70D3,0.11083333333333334,0.20597417876724397
85,HvMlo,AtEXO70E2,0.01625,0.024461593676974345
86,HvMlo,AtEXO70G1,0.11708333333333333,0.16209173909875224
87,HvMlo,AtEXO70H1,0.6810526315789474,0.527266480558425
88,HvMlo,AtEXO70H2,0.23208333333333334,0.21473905634243756
89,HvMlo,AtEXO70H4,0.5520833333333334,0.44137117542127013
90,HvMlo,AtEXO70H7,0.3408333333333333,0.3857450911707352
