"CLuc_Sample","A","B","C","D","E","F","G","H","I","J"
"A",1,0.618449882047166,0.974289704646798,0.582952862097126,0.97505107011623,0.974289704646798,0.0678008107032927,0.627641266830124,0.646839895399852,0.00923580102550046
"B",0.618449882047166,1,0.582952862097126,0.974289704646798,0.627641266830124,0.627641266830124,0.391285065627508,0.974289704646798,0.974289704646798,0.0647765324608842
"C",0.974289704646798,0.582952862097126,1,0.56552635414675,0.974289704646798,0.974289704646798,0.0647765324608842,0.618449882047166,0.631286756386168,0.00923580102550046
"D",0.582952862097126,0.974289704646798,0.56552635414675,1,0.582952862097126,0.582952862097126,0.502866233633109,0.974289704646798,0.91541051959646,0.0678008107032927
"E",0.97505107011623,0.627641266830124,0.974289704646798,0.582952862097126,1,0.97505107011623,0.0678008107032927,0.631286756386168,0.673613495044006,0.00923580102550046
"F",0.974289704646798,0.627641266830124,0.974289704646798,0.582952862097126,0.97505107011623,1,0.0678008107032927,0.636849653018337,0.679782008895461,0.00923580102550046
"G",0.0678008107032927,0.391285065627508,0.0647765324608842,0.502866233633109,0.0678008107032927,0.0678008107032927,1,0.345346728600503,0.291077202351816,0.582952862097126
"H",0.627641266830124,0.974289704646798,0.618449882047166,0.974289704646798,0.631286756386168,0.636849653018337,0.345346728600503,1,0.974289704646798,0.0610388954394573
"I",0.646839895399852,0.974289704646798,0.631286756386168,0.91541051959646,0.673613495044006,0.679782008895461,0.291077202351816,0.974289704646798,1,0.0526313925391312
"J",0.00923580102550046,0.0647765324608842,0.00923580102550046,0.0678008107032927,0.00923580102550046,0.00923580102550046,0.582952862097126,0.0610388954394573,0.0526313925391312,1
