NLuc,CLuc,Experiment,Replicate,Volume,Area,VpA,VpA_base,VpA_norm,Ref_sample
AtMLO2,AtCAM2,3,1,948623.81,86.52,10963.95,11247.33,1.00,AtMLO2-AtCAM2
AtMLO2,AtEXO70A1,3,2,15880.60,29.89,531.31,543.37,0.16,AtMLO2-AtCAM2
AtMLO2,MmExoc7,3,2,72123.50,42.47,1698.04,1710.11,0.50,AtMLO2-AtCAM2
AtMLO2,ScExo70,3,2,-577.25,42.47,-13.59,-1.53,0.00,AtMLO2-AtCAM2
AtMLO2,AtEXO70B1,3,2,350.00,42.47,8.24,20.30,0.01,AtMLO2-AtCAM2
AtMLO2,AtEXO70B2,3,2,50855.86,63.45,801.52,813.58,0.24,AtMLO2-AtCAM2
AtMLO2,AtEXO70D2,3,2,11436.50,42.47,269.26,281.32,0.08,AtMLO2-AtCAM2
AtMLO2,AtEXO70D3,3,2,13425.21,63.45,211.59,223.65,0.07,AtMLO2-AtCAM2
AtMLO2,AtCAM2,3,2,145327.00,42.47,3421.51,3433.58,1.00,AtMLO2-AtCAM2
AtMLO2,AtEXO70A1,3,3,9622.36,63.45,151.65,500.39,0.22,AtMLO2-AtCAM2
AtMLO2,MmExoc7,3,3,179444.94,86.52,2073.98,2422.71,1.04,AtMLO2-AtCAM2
AtMLO2,ScExo70,3,3,2176.50,42.47,51.24,399.97,0.17,AtMLO2-AtCAM2
AtMLO2,AtEXO70B1,3,3,-24037.07,63.45,-378.84,-30.11,-0.01,AtMLO2-AtCAM2
AtMLO2,AtEXO70B2,3,3,4748.57,63.45,74.84,423.57,0.18,AtMLO2-AtCAM2
AtMLO2,AtEXO70D2,3,3,52147.64,63.45,821.88,1170.61,0.50,AtMLO2-AtCAM2
AtMLO2,AtEXO70D3,3,3,23418.43,63.45,369.09,717.82,0.31,AtMLO2-AtCAM2
AtMLO2,AtCAM2,3,3,212223.61,107.50,1974.23,2322.96,1.00,AtMLO2-AtCAM2
AtMLO2,AtEXO70A1,3,4,9485.44,86.52,109.63,-13.11,0.00,AtMLO2-AtCAM2
AtMLO2,MmExoc7,3,4,215549.64,63.45,3397.18,3274.44,0.65,AtMLO2-AtCAM2
AtMLO2,ScExo70,3,4,20061.57,63.45,316.18,193.44,0.04,AtMLO2-AtCAM2
AtMLO2,AtEXO70B1,3,4,50451.36,63.45,795.14,672.40,0.13,AtMLO2-AtCAM2
AtMLO2,AtEXO70B2,3,4,75408.06,86.52,871.55,748.81,0.15,AtMLO2-AtCAM2
AtMLO2,AtEXO70D2,3,4,113327.14,63.45,1786.10,1663.36,0.33,AtMLO2-AtCAM2
AtMLO2,AtEXO70D3,3,4,18840.57,63.45,296.94,174.20,0.03,AtMLO2-AtCAM2
AtMLO2,AtCAM2,3,4,445336.19,86.52,5147.08,5024.34,1.00,AtMLO2-AtCAM2
AtMLO2,AtEXO70E1,3,1,6769.14,49.69,136.24,10.44,0.00,AtMLO2-AtCAM2
AtMLO2,AtEXO70E2,3,1,29207.93,49.69,587.85,462.05,0.02,AtMLO2-AtCAM2
AtMLO2,AtEXO70G1,3,1,73488.71,49.69,1479.06,1353.26,0.07,AtMLO2-AtCAM2
AtMLO2,AtEXO70H1,3,1,376001.69,67.75,5549.52,5423.72,0.27,AtMLO2-AtCAM2
AtMLO2,AtEXO70H2,3,1,26604.57,49.69,535.45,409.65,0.02,AtMLO2-AtCAM2
AtMLO2,AtEXO70H4,3,1,6211.36,49.69,125.01,-0.79,0.00,AtMLO2-AtCAM2
AtMLO2,AtEXO70H7,3,1,35617.50,33.26,1070.85,945.05,0.05,AtMLO2-AtCAM2
AtMLO2,AtCAM2,3,1,1373333.06,67.75,20269.42,20143.62,1.00,AtMLO2-AtCAM2
AtMLO2,AtEXO70E1,3,2,15158.25,33.26,455.74,586.94,0.22,AtMLO2-AtCAM2
AtMLO2,AtEXO70E2,3,2,-184.71,49.69,-3.72,127.48,0.05,AtMLO2-AtCAM2
AtMLO2,AtEXO70G1,3,2,34151.21,49.69,687.34,818.54,0.31,AtMLO2-AtCAM2
AtMLO2,AtEXO70H1,3,2,47676.00,33.26,1433.39,1564.59,0.59,AtMLO2-AtCAM2
AtMLO2,AtEXO70H2,3,2,23966.43,49.69,482.36,613.56,0.23,AtMLO2-AtCAM2
AtMLO2,AtEXO70H4,3,2,22597.00,33.26,679.38,810.58,0.31,AtMLO2-AtCAM2
AtMLO2,AtEXO70H7,3,2,-4683.00,33.26,-140.80,-9.60,0.00,AtMLO2-AtCAM2
AtMLO2,AtCAM2,3,2,124814.29,49.69,2512.05,2643.25,1.00,AtMLO2-AtCAM2
AtMLO2,AtEXO70E1,3,3,16625.31,67.75,245.38,369.12,0.08,AtMLO2-AtCAM2
AtMLO2,AtEXO70E2,3,3,27224.21,49.69,547.92,671.66,0.15,AtMLO2-AtCAM2
AtMLO2,AtEXO70G1,3,3,-6583.14,49.69,-132.49,-8.75,0.00,AtMLO2-AtCAM2
AtMLO2,AtEXO70H1,3,3,371204.43,49.69,7470.97,7594.71,1.67,AtMLO2-AtCAM2
AtMLO2,AtEXO70H2,3,3,51454.13,67.75,759.43,883.17,0.19,AtMLO2-AtCAM2
AtMLO2,AtEXO70H4,3,3,-369.29,49.69,-7.43,116.31,0.03,AtMLO2-AtCAM2
AtMLO2,AtEXO70H7,3,3,159405.50,110.46,1443.11,1566.85,0.34,AtMLO2-AtCAM2
AtMLO2,AtCAM2,3,3,299339.38,67.75,4418.04,4541.78,1.00,AtMLO2-AtCAM2
AtMLO2,AtEXO70E1,3,4,2350.86,49.69,47.31,-36.19,0.00,AtMLO2-AtCAM2
AtMLO2,AtEXO70E2,3,4,47505.61,84.18,564.34,480.83,0.04,AtMLO2-AtCAM2
AtMLO2,AtEXO70G1,3,4,135875.50,84.18,1614.12,1530.62,0.11,AtMLO2-AtCAM2
AtMLO2,AtEXO70H1,3,4,546335.06,67.75,8063.52,7980.01,0.59,AtMLO2-AtCAM2
AtMLO2,AtEXO70H2,3,4,75015.88,67.75,1107.18,1023.67,0.08,AtMLO2-AtCAM2
AtMLO2,AtEXO70H4,3,4,186379.33,84.18,2214.08,2130.57,0.16,AtMLO2-AtCAM2
AtMLO2,AtEXO70H7,3,4,254200.89,84.18,3019.76,2936.25,0.22,AtMLO2-AtCAM2
AtMLO2,AtCAM2,3,4,1150104.22,84.18,13662.58,13579.07,1.00,AtMLO2-AtCAM2
AtMLO2,AtEXO70A1,4,1,21088.00,65.99,319.55,258.65,0.01,AtMLO2-AtCAM2
AtMLO2,MmExoc7,4,1,1228436.19,89.99,13650.85,13589.95,0.55,AtMLO2-AtCAM2
AtMLO2,ScExo70,4,1,9030.00,44.18,204.41,143.50,0.01,AtMLO2-AtCAM2
AtMLO2,AtEXO70B1,4,1,20928.25,44.18,473.74,412.84,0.02,AtMLO2-AtCAM2
AtMLO2,AtEXO70B2,4,1,222190.36,65.99,3366.91,3306.00,0.13,AtMLO2-AtCAM2
AtMLO2,AtEXO70D2,4,1,100606.07,65.99,1524.51,1463.61,0.06,AtMLO2-AtCAM2
AtMLO2,AtEXO70D3,4,1,3306.21,65.99,50.10,-10.80,0.00,AtMLO2-AtCAM2
AtMLO2,AtCAM2,4,1,1638068.43,65.99,24822.06,24761.16,1.00,AtMLO2-AtCAM2
AtMLO2,AtEXO70A1,4,2,-7009.00,65.99,-106.21,-1.54,0.00,AtMLO2-AtCAM2
AtMLO2,MmExoc7,4,2,314169.81,89.99,3491.18,3595.85,0.33,AtMLO2-AtCAM2
AtMLO2,ScExo70,4,2,1095.86,65.99,16.61,121.28,0.01,AtMLO2-AtCAM2
AtMLO2,AtEXO70B1,4,2,-5558.86,65.99,-84.23,20.44,0.00,AtMLO2-AtCAM2
AtMLO2,AtEXO70B2,4,2,90945.57,65.99,1378.12,1482.79,0.14,AtMLO2-AtCAM2
AtMLO2,AtEXO70D2,4,2,74933.10,31.09,2410.40,2515.08,0.23,AtMLO2-AtCAM2
AtMLO2,AtEXO70D3,4,2,23847.90,31.09,767.13,871.80,0.08,AtMLO2-AtCAM2
AtMLO2,AtCAM2,4,2,708201.86,65.99,10731.56,10836.23,1.00,AtMLO2-AtCAM2
AtMLO2,AtEXO70A1,4,3,-6291.75,44.18,-142.42,368.09,0.13,AtMLO2-AtCAM2
AtMLO2,MmExoc7,4,3,8209.69,89.99,91.23,601.74,0.21,AtMLO2-AtCAM2
AtMLO2,ScExo70,4,3,-35030.43,65.99,-530.82,-20.31,-0.01,AtMLO2-AtCAM2
AtMLO2,AtEXO70B1,4,3,4384.57,65.99,66.44,576.96,0.20,AtMLO2-AtCAM2
AtMLO2,AtEXO70B2,4,3,-15883.57,65.99,-240.69,269.83,0.09,AtMLO2-AtCAM2
AtMLO2,AtEXO70D2,4,3,-12591.50,65.99,-190.80,319.71,0.11,AtMLO2-AtCAM2
AtMLO2,AtEXO70D3,4,3,-8845.93,65.99,-134.04,376.47,0.13,AtMLO2-AtCAM2
AtMLO2,AtCAM2,4,3,215282.94,89.99,2392.31,2902.82,1.00,AtMLO2-AtCAM2
AtMLO2,AtEXO70A1,4,4,-848.25,44.18,-19.20,36.02,0.01,AtMLO2-AtCAM2
AtMLO2,MmExoc7,4,4,74432.00,44.18,1684.87,1740.09,0.70,AtMLO2-AtCAM2
AtMLO2,ScExo70,4,4,-2161.50,44.18,-48.93,6.29,0.00,AtMLO2-AtCAM2
